# list of object assets to load in this scene
[ASSETS]

# id	left	top	right	bottom	texture_id	xD	yD
[SPRITES]
#	-----------------------------------------------------------

#MARIO
10001011	138	50	152	66	999		
10001012	155	50	169	66	999

#HUD
170720	5	244	257	278	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#	-----------------------------------------------------------
# ==== MARIO =========
100001001	10001011	100	10001012	100

#
[OBJECTS]
# See OBJECT_TYPE constants in AssetIDs.h

#NODE_GATE								
112	40	60	-1	2	0	0	1	0
112	76	60	-1	2	1	1	0	0
112	76	28	-1	1	0	0	1	1
112	108	28	-1	4	1	0	1	0
112	140	28	-1	5	1	0	1	1
112	172	28	-1	6	1	0	1	0
112	204	28	-1	7	1	0	0	1
112	140	60	-1	8	0	1	1	1
112	172	60	-1	9	1	0	1	0
112	204	60	-1	10	1	1	0	0
112	140	92	-1	11	1	1	0	0
112	108	92	-1	12	1	0	1	0
112	76	92	-1	13	0	0	1	1
112	108	124	-1	14	0	0	1	0
112	140	124	-1	15	1	0	1	1
112	172	124	-1	16	1	0	1	0
112	204	124	-1	17	1	0	0	0
112	76	124	-1	18	0	1	0	1
112	108	156	-1	19	1	0	1	0
112	140	156	-1	20	1	1	0	0
112	76	156	-1	21	0	1	1	0

# MARIO
111	40	54	1


[MAP]
8000	map/worldMap.txt	16	16	4	11	16	16	0
